,TTPs
604,"'T1543.003', 'T1083', 'T1554', 'T1485', 'T1078', 'T1027', 'T1572', 'T1499.004', 'T1489', 'T1046', 'T1140', 'T1082', 'T1018', 'T1105', 'T1016', 'T1090.003', 'T1071.001', 'T1012', 'T1041'"
605,"'T1547.001', 'T1012', 'T1059.003', 'T1059.001', 'T1033', 'T1082', 'T1071.001'"
606,"'T1057', 'T1055.001', 'T1059.001', 'T1113', 'T1090'"
607,"'T1014', 'T1055.001'"
608,"'T1053.005', 'T1003.001', 'T1543.003', 'T1102.002', 'T1497', 'T1003.002', 'T1059.003', 'T1082', 'T1547.001', 'T1036.003', 'T1071.001', 'T1027', 'T1518.001', 'T1218.011'"
609,"'T1106', 'T1036.003', 'T1071.004', 'T1016', 'T1132.001', 'T1005', 'T1041', 'T1001.001', 'T1564.003', 'T1030', 'T1071.001', 'T1572', 'T1070.004', 'T1027', 'T1074', 'T1059.003', 'T1497', 'T1008', 'T1082', 'T1105'"
610,"'T1547.001', 'T1140', 'T1047', 'T1048.003', 'T1497', 'T1218.009', 'T1087.001', 'T1057', 'T1082', 'T1016', 'T1065', 'T1562.001', 'T1185', 'T1560', 'T1071.001', 'T1055', 'T1555.003', 'T1555', 'T1055.012', 'T1027', 'T1112', 'T1056.001', 'T1564.003', 'T1125', 'T1203', 'T1033', 'T1552.001', 'T1115', 'T1053.005', 'T1071.003', 'T1204.002', 'T1566.001', 'T1564.001', 'T1113', 'T1105', 'T1552.002', 'T1124'"
611,"'T1105', 'T1082', 'T1547.008', 'T1083', 'T1057', 'T1005', 'T1070.004'"
612,"'T1059.003', 'T1573.001', 'T1071.001'"
613,"'T1059.007', 'T1016', 'T1047', 'T1036.004', 'T1559.001', 'T1218.005', 'T1559.002', 'T1518.001', 'T1029', 'T1082', 'T1105', 'T1027.001', 'T1132.001', 'T1057', 'T1065', 'T1005', 'T1090.002', 'T1053.005', 'T1113', 'T1033', 'T1070.004', 'T1140', 'T1087.001', 'T1059.001', 'T1573.002', 'T1059.005', 'T1027', 'T1562.001'"
614,"'T1546.003', 'T1071.001', 'T1547.001', 'T1059.001', 'T1003.002', 'T1573.001'"
615,"'T1059.003', 'T1074.001', 'T1070.004', 'T1113', 'T1027', 'T1056.001'"
616,"'T1105', 'T1547.001', 'T1005', 'T1071.001', 'T1102.001', 'T1025', 'T1036.005', 'T1573.001', 'T1574.002', 'T1113', 'T1055.012', 'T1132.001', 'T1083', 'T1132', 'T1119', 'T1102.002', 'T1120', 'T1036.001', 'T1074.001', 'T1056.001', 'T1053.005', 'T1059.003', 'T1039', 'T1106'"
617,"'T1105', 'T1029', 'T1082', 'T1057', 'T1070.004', 'T1059.003', 'T1083', 'T1008', 'T1005'"
618,"'T1053.005', 'T1033', 'T1041', 'T1071.004', 'T1070.008', 'T1140', 'T1071.003', 'T1106', 'T1562.001', 'T1059.003', 'T1057', 'T1036.005', 'T1059.005', 'T1027', 'T1027.001', 'T1005', 'T1574.002', 'T1071.001'"
619,"'T1124', 'T1132.002', 'T1568.002', 'T1055.001', 'T1071.002', 'T1070', 'T1112', 'T1071.004', 'T1071.001', 'T1033', 'T1082', 'T1140', 'T1027', 'T1016', 'T1029', 'T1105', 'T1057', 'T1095', 'T1055'"
620,"'T1113', 'T1027', 'T1547.001', 'T1053.005', 'T1056.001', 'T1010', 'T1059.005', 'T1140', 'T1047', 'T1041', 'T1059.003', 'T1547.004', 'T1083', 'T1071.001', 'T1115', 'T1560'"
621,"'T1082', 'T1059.007', 'T1218.010', 'T1547.009', 'T1129', 'T1574.001', 'T1027', 'T1047', 'T1124', 'T1102.001', 'T1497.001', 'T1204.002', 'T1218.001', 'T1518.001', 'T1027.002', 'T1552', 'T1115', 'T1598.002', 'T1140', 'T1555', 'T1105', 'T1055.012', 'T1041', 'T1056.001', 'T1564.004', 'T1564.003', 'T1016', 'T1059.003', 'T1059.005', 'T1057', 'T1220', 'T1074.001', 'T1547.001', 'T1132.001', 'T1568.002'"
622,"'T1059.007', 'T1049', 'T1057', 'T1059.005', 'T1112', 'T1105', 'T1518.001', 'T1573.001', 'T1566.002', 'T1572', 'T1070.004', 'T1027.001', 'T1071.001', 'T1555.003', 'T1055.012', 'T1218.010', 'T1497.003', 'T1091', 'T1056.001', 'T1090.002', 'T1095', 'T1539', 'T1018', 'T1027.002', 'T1005', 'T1059.003', 'T1106', 'T1140', 'T1132.001', 'T1204.002', 'T1210', 'T1059.001', 'T1566.001', 'T1053.005', 'T1204.001', 'T1027.005', 'T1027', 'T1497.001', 'T1069.001', 'T1010', 'T1482', 'T1218.011', 'T1135', 'T1124', 'T1055', 'T1083', 'T1074.001', 'T1033', 'T1036', 'T1082', 'T1041', 'T1547.001', 'T1047', 'T1120', 'T1114.001', 'T1016', 'T1518', 'T1110', 'T1562.001', 'T1185', 'T1016.001', 'T1218.007', 'T1568.002', 'T1553.002'"
623,"'T1059.003', 'T1057', 'T1082', 'T1071.002', 'T1204.002'"
624,"'T1539', 'T1059.006', 'T1027', 'T1496', 'T1543.001', 'T1518.001', 'T1562.004', 'T1005', 'T1105', 'T1048.003', 'T1059.004', 'T1140', 'T1555.003', 'T1083'"
625,"'T1070.004', 'T1106', 'T1547.001', 'T1105', 'T1204.002', 'T1140', 'T1497', 'T1566.001', 'T1218.012', 'T1566.002', 'T1027', 'T1059.001', 'T1204.001'"
626,"'T1518.001', 'T1134', 'T1036.005', 'T1547.012', 'T1070.004', 'T1059.003', 'T1008', 'T1095', 'T1083', 'T1112', 'T1620', 'T1543.003', 'T1036.001', 'T1033', 'T1071.001', 'T1071.004', 'T1082', 'T1005', 'T1106', 'T1140', 'T1055.001', 'T1057', 'T1070.006', 'T1547.001', 'T1559.001', 'T1105', 'T1027', 'T1497', 'T1568', 'T1012', 'T1548.002', 'T1027.001'"
627,"'T1083', 'T1007', 'T1016', 'T1059.007', 'T1027', 'T1082', 'T1518.001', 'T1056.001', 'T1070.004', 'T1552.001', 'T1029', 'T1120', 'T1037.005', 'T1125', 'T1059.005', 'T1552.004', 'T1105', 'T1059.003', 'T1115', 'T1123', 'T1047', 'T1021.001', 'T1555.003', 'T1090', 'T1027.002', 'T1049', 'T1113', 'T1057'"
628,"'T1071.004', 'T1115', 'T1069.002', 'T1059.005', 'T1059.001', 'T1119', 'T1056.001', 'T1553.002', 'T1059.003', 'T1074.001', 'T1053.005', 'T1069.001', 'T1071.001', 'T1547.001', 'T1573.001', 'T1132.001', 'T1030', 'T1105', 'T1547.009', 'T1027', 'T1057'"
629,"'T1071.001', 'T1027', 'T1106', 'T1518', 'T1573.002', 'T1090.003', 'T1082', 'T1219', 'T1573.001', 'T1090', 'T1204.002', 'T1185'"
630,"'T1055', 'T1106', 'T1105', 'T1071.001', 'T1027.003', 'T1140', 'T1059.003'"
631,"'T1033', 'T1057', 'T1070.004', 'T1573.001', 'T1543.001', 'T1564.001', 'T1071.001'"
632,"'T1564.001', 'T1548.004', 'T1564', 'T1222.002', 'T1059.004', 'T1082', 'T1036.005', 'T1564.009', 'T1553.001', 'T1140', 'T1176', 'T1204.002', 'T1105', 'T1083'"
633,"'T1560.002', 'T1140', 'T1082', 'T1497.001', 'T1055.012', 'T1132.001', 'T1083', 'T1574.002', 'T1016', 'T1105', 'T1059.003', 'T1027', 'T1059.001', 'T1033', 'T1012', 'T1574', 'T1071.004', 'T1070.004', 'T1106'"
634,'T1102.002'
635,"'T1056.002', 'T1222.002', 'T1027.002', 'T1543.001', 'T1048.003', 'T1557', 'T1548.003', 'T1090.003', 'T1547.015', 'T1553.004', 'T1059.002'"
636,"'T1112', 'T1140', 'T1518.001', 'T1027', 'T1562.006', 'T1027.005', 'T1049', 'T1105', 'T1055.003', 'T1057', 'T1574.002', 'T1106', 'T1012', 'T1055'"
637,"'T1047', 'T1083', 'T1486', 'T1140', 'T1490', 'T1135', 'T1027', 'T1059'"
638,"'T1547.001', 'T1059.005', 'T1018', 'T1218.011', 'T1087.001', 'T1547.009', 'T1049', 'T1573.001', 'T1082', 'T1518.001', 'T1102.002', 'T1007', 'T1027.001', 'T1059.003', 'T1119', 'T1071.001', 'T1016', 'T1027', 'T1057'"
639,"'T1071.001', 'T1105', 'T1090', 'T1547.001'"
640,"'T1132.001', 'T1548.002', 'T1059.001', 'T1083'"
641,"'T1059.005', 'T1105', 'T1204.002', 'T1059.007', 'T1059.001', 'T1053.005', 'T1566.001'"
642,"'T1112', 'T1059.003', 'T1095', 'T1094'"
643,"'T1012', 'T1135', 'T1087.002', 'T1082', 'T1016', 'T1087.001', 'T1018', 'T1069.001', 'T1049', 'T1069.002'"
644,"'T1113', 'T1090.003', 'T1564.001', 'T1056.001', 'T1070.004', 'T1123', 'T1071.001', 'T1543.001', 'T1115'"
645,"'T1016', 'T1140', 'T1055.001', 'T1217', 'T1106', 'T1560', 'T1057', 'T1003.001', 'T1087.003', 'T1113', 'T1518.001', 'T1555.004', 'T1082', 'T1555.003', 'T1033', 'T1059.001', 'T1059.003', 'T1055.002', 'T1573', 'T1055', 'T1105', 'T1049'"
646,"'T1129', 'T1083', 'T1078', 'T1574', 'T1016', 'T1056.001', 'T1012', 'T1105', 'T1543.003', 'T1055.012', 'T1547', 'T1070.004', 'T1027.009', 'T1059.003', 'T1082', 'T1057', 'T1036.005', 'T1140', 'T1049', 'T1217', 'T1074.001', 'T1005', 'T1560'"
647,"'T1105', 'T1573.001', 'T1562.001', 'T1091', 'T1059.003', 'T1490', 'T1080', 'T1548.002', 'T1132', 'T1562.004', 'T1555.003', 'T1027.002', 'T1027'"
648,"'T1059.003', 'T1486', 'T1105'"
649,"'T1543.003', 'T1059.003', 'T1569.001', 'T1569.002', 'T1082', 'T1543.004', 'T1059.004', 'T1027', 'T1105', 'T1496', 'T1189', 'T1057', 'T1218.007', 'T1070.004', 'T1564.006', 'T1564.001', 'T1016'"
650,"'T1055.012', 'T1012', 'T1140', 'T1555.003', 'T1016', 'T1113', 'T1124', 'T1082', 'T1033', 'T1105', 'T1070.004', 'T1552.001', 'T1083', 'T1573.001', 'T1134.002', 'T1057'"
651,"'T1547.001', 'T1027', 'T1564.004', 'T1134.001', 'T1018', 'T1112', 'T1135', 'T1070.006', 'T1490', 'T1480', 'T1007', 'T1222.001', 'T1012', 'T1087.001', 'T1106', 'T1548.002', 'T1543.003', 'T1486'"
652,"'T1071.001', 'T1083', 'T1012', 'T1132.002', 'T1547.001', 'T1041', 'T1104', 'T1057', 'T1112', 'T1082', 'T1547.009', 'T1090.001', 'T1562.004', 'T1059.003'"
653,"'T1082', 'T1001.002', 'T1068', 'T1021.002', 'T1057', 'T1105', 'T1027', 'T1005', 'T1083'"
654,"'T1124', 'T1033', 'T1105', 'T1016', 'T1573.001', 'T1082', 'T1071.001', 'T1113', 'T1083', 'T1059.003'"
655,"'T1029', 'T1573.001', 'T1083', 'T1027', 'T1573.002', 'T1012', 'T1132.001', 'T1560.003', 'T1106', 'T1560', 'T1074.001', 'T1120', 'T1070.004', 'T1071.001', 'T1546.015', 'T1041', 'T1057', 'T1059.003', 'T1218.011', 'T1547.001', 'T1082', 'T1112', 'T1056.001'"
656,"'T1573.001', 'T1082', 'T1059.003', 'T1106', 'T1053', 'T1005', 'T1033', 'T1105', 'T1124', 'T1036.005', 'T1041', 'T1070.004', 'T1113', 'T1083', 'T1497.003'"
657,"'T1059.003', 'T1547.001', 'T1105', 'T1003.002'"
658,"'T1065', 'T1037.004', 'T1027', 'T1014', 'T1573.001', 'T1136.001', 'T1140', 'T1574.006', 'T1095', 'T1105', 'T1059.003'"
659,"'T1547.001', 'T1082', 'T1204.002', 'T1041', 'T1548.002', 'T1059.003', 'T1090', 'T1106', 'T1125', 'T1573.001', 'T1564', 'T1057', 'T1555.003', 'T1566.001', 'T1095', 'T1562.001', 'T1221', 'T1055', 'T1014', 'T1083', 'T1112', 'T1105', 'T1005', 'T1546.015', 'T1021.001', 'T1021.005', 'T1056.001', 'T1140', 'T1059.001'"
660,"'T1110.002', 'T1003.001', 'T1021.002', 'T1569.002'"
661,"'T1071.001', 'T1059.003', 'T1005', 'T1105', 'T1113', 'T1041', 'T1564.001', 'T1082', 'T1036.004', 'T1112', 'T1056.001', 'T1033', 'T1036.005', 'T1543.003', 'T1489', 'T1049', 'T1001', 'T1057', 'T1083', 'T1070.004', 'T1007', 'T1055', 'T1569.002'"
662,"'T1083', 'T1573.001', 'T1082', 'T1543.003', 'T1016', 'T1001.003', 'T1070.004', 'T1070.006'"
663,"'T1071.001', 'T1480', 'T1059.003', 'T1132.002', 'T1573.002', 'T1547.001', 'T1033', 'T1105', 'T1027', 'T1016', 'T1102.002', 'T1036.005', 'T1059.006'"
664,"'T1091', 'T1136.001', 'T1113', 'T1547.002', 'T1218.011', 'T1210', 'T1011.001', 'T1123', 'T1518.001'"
665,"'T1110.001', 'T1106', 'T1021.002', 'T1569.002', 'T1059.003', 'T1036.005', 'T1046', 'T1047', 'T1570', 'T1027', 'T1018', 'T1559.001', 'T1218.011', 'T1070.001', 'T1218.010', 'T1553.002'"
666,"'T1070.005', 'T1136.001', 'T1569.002', 'T1135', 'T1069.001', 'T1201', 'T1124', 'T1069.002', 'T1021.002', 'T1049', 'T1007', 'T1087.001', 'T1087.002', 'T1136.002', 'T1018'"
667,"'T1113', 'T1083', 'T1218.007', 'T1105'"
668,"'T1615', 'T1201', 'T1033', 'T1482', 'T1069.002', 'T1106', 'T1059.001', 'T1018', 'T1087.001', 'T1069.001', 'T1560', 'T1087.002'"
669,"'T1553.004', 'T1105', 'T1140'"
670,'T1053.002'
671,'T1548.002'
672,"'T1036.005', 'T1087', 'T1119', 'T1016', 'T1020', 'T1560', 'T1071.001', 'T1027', 'T1069', 'T1106', 'T1082', 'T1041', 'T1049', 'T1057', 'T1105', 'T1518'"
673,"'T1113', 'T1049', 'T1573.001', 'T1041', 'T1134', 'T1132.001', 'T1055', 'T1573.002', 'T1016', 'T1083', 'T1071.001', 'T1001.002', 'T1105', 'T1071.004', 'T1027'"
674,"'T1007', 'T1547.001', 'T1059.003', 'T1003.001', 'T1546.015', 'T1555.004', 'T1546.003', 'T1106', 'T1059.001', 'T1562.001', 'T1552.006', 'T1083', 'T1548.002', 'T1112', 'T1069.001', 'T1041', 'T1135', 'T1556', 'T1033', 'T1543.003', 'T1105', 'T1021.003', 'T1555.003', 'T1558.003', 'T1082', 'T1055', 'T1057', 'T1113', 'T1087.002', 'T1070.004', 'T1047', 'T1046', 'T1518.001', 'T1564.003', 'T1012', 'T1021.006', 'T1124', 'T1069.002', 'T1056.002', 'T1018', 'T1546.001', 'T1056.001', 'T1134.001', 'T1562.003', 'T1070', 'T1059.006', 'T1010'"
675,"'T1027.005', 'T1574.009', 'T1012', 'T1558.003', 'T1123', 'T1574.007', 'T1087.001', 'T1547.001', 'T1047', 'T1056.001', 'T1053.005', 'T1034', 'T1134', 'T1555.004', 'T1574.008', 'T1027', 'T1003.001', 'T1552.006', 'T1574.001', 'T1113', 'T1055.001', 'T1552.002', 'T1059.001', 'T1482', 'T1005', 'T1543.003', 'T1547.005', 'T1057', 'T1620'"
676,'T1003.001'
677,"'T1569.002', 'T1003.001', 'T1557.001', 'T1040', 'T1003.004', 'T1047', 'T1003.002', 'T1558.003', 'T1003.003'"
678,'T1016'
679,"'T1556.006', 'T1589.002', 'T1649', 'T1112', 'T1098.005', 'T1069.003', 'T1528', 'T1087.004', 'T1566.002', 'T1590.001', 'T1552.001', 'T1059.001', 'T1136.003', 'T1484.002', 'T1556.007', 'T1558.002', 'T1598.003', 'T1003.004', 'T1552.004', 'T1606.002', 'T1526'"
680,"'T1057', 'T1007', 'T1518.001'"
681,'T1003.001'
682,"'T1018', 'T1016'"
683,'T1213.002'
684,"'T1057', 'T1059.001', 'T1119', 'T1055', 'T1105', 'T1016', 'T1113', 'T1615', 'T1558.003', 'T1574.004', 'T1557.001', 'T1552.001', 'T1070.006', 'T1046', 'T1552.004', 'T1059.003', 'T1041', 'T1083', 'T1040', 'T1574.009', 'T1125', 'T1574.001', 'T1106', 'T1021.004', 'T1056.001', 'T1567.001', 'T1136.001', 'T1134.002', 'T1550.002', 'T1087.001', 'T1059', 'T1134.005', 'T1053.005', 'T1217', 'T1560', 'T1068', 'T1114.001', 'T1102.002', 'T1049', 'T1573.002', 'T1127.001', 'T1569.002', 'T1021.003', 'T1543.003', 'T1574.007', 'T1115', 'T1003.001', 'T1558.001', 'T1087.002', 'T1484.001', 'T1546.008', 'T1056.004', 'T1548.002', 'T1135', 'T1567.002', 'T1047', 'T1082', 'T1071.001', 'T1547.005', 'T1210', 'T1555.003', 'T1136.002', 'T1547.009', 'T1033', 'T1574.008', 'T1020', 'T1558.002', 'T1518.001', 'T1482', 'T1027', 'T1547.001', 'T1134'"
685,'T1016'
686,"'T1482', 'T1087.002', 'T1069.002'"
687,"'T1027', 'T1012', 'T1056.001', 'T1113', 'T1016', 'T1112', 'T1218.011', 'T1106', 'T1041', 'T1057', 'T1036.005', 'T1546.015', 'T1005', 'T1059.003', 'T1070.004', 'T1055', 'T1125', 'T1140', 'T1071.001', 'T1036.001'"
688,"'T1485', 'T1561.001', 'T1561.002'"
689,'T1049'
690,"'T1049', 'T1090', 'T1548.002', 'T1040', 'T1210', 'T1110', 'T1007', 'T1555', 'T1082', 'T1550.002', 'T1069.001', 'T1546.003', 'T1557.001', 'T1201', 'T1068', 'T1482', 'T1087.001', 'T1055', 'T1003.001', 'T1071.001', 'T1134', 'T1056.001', 'T1047', 'T1119', 'T1016', 'T1569.002', 'T1560.001', 'T1087.002', 'T1083', 'T1046', 'T1552.001', 'T1134.002'"
691,'T1003.002'
692,'T1569.002'
693,"'T1112', 'T1105', 'T1553.002', 'T1053.005', 'T1070.004', 'T1204.002', 'T1027.002', 'T1036.004', 'T1070', 'T1071.001', 'T1497.001', 'T1548.002'"
694,"'T1567.002', 'T1560.001', 'T1048.003', 'T1048.002', 'T1030', 'T1083'"
695,'T1003.007'
696,"'T1546.007', 'T1518.001', 'T1090', 'T1562.004'"
697,"'T1204.002', 'T1071.002', 'T1027', 'T1105'"
698,"'T1048.003', 'T1197', 'T1105', 'T1570'"
699,'T1090.004'
700,"'T1526', 'T1078.004', 'T1087.004', 'T1069.003', 'T1018', 'T1119'"
701,"'T1552.007', 'T1613', 'T1528', 'T1610', 'T1611', 'T1619', 'T1552.005', 'T1609', 'T1078.004', 'T1046', 'T1530', 'T1550.001'"
702,"'T1115', 'T1112', 'T1105', 'T1083', 'T1547.001', 'T1125', 'T1027', 'T1056.001', 'T1059.006', 'T1055', 'T1497.001', 'T1548.002', 'T1090', 'T1123', 'T1059.003', 'T1113'"
703,'T1082'
704,"'T1027', 'T1114.001', 'T1059.003', 'T1005', 'T1071.001'"
705,"'T1059.001', 'T1125', 'T1113'"
706,"'T1041', 'T1106', 'T1140', 'T1564.001', 'T1562.001', 'T1083', 'T1125', 'T1059', 'T1027', 'T1070.004', 'T1555.003', 'T1021.001', 'T1056.001', 'T1123', 'T1057', 'T1496'"
707,"'T1087.003', 'T1137.004', 'T1137.003', 'T1137.005'"
708,"'T1202', 'T1005', 'T1083'"
709,'T1569.002'
710,"'T1036.005', 'T1027', 'T1053.005', 'T1071.001', 'T1005', 'T1105', 'T1059.003', 'T1547.001', 'T1564.003', 'T1070.009'"
711,"'T1018', 'T1016', 'T1482'"
712,"'T1087.003', 'T1110.003', 'T1114.002'"
713,'T1190'
714,'T1003.002'
715,"'T1557.001', 'T1040'"
716,'T1550.002'
717,"'T1059', 'T1027', 'T1057', 'T1071.001', 'T1105', 'T1562.001', 'T1055', 'T1106', 'T1059.005', 'T1059.006', 'T1070', 'T1620', 'T1027.002', 'T1059.007', 'T1059.001'"
718,"'T1550.003', 'T1003.002', 'T1003.001', 'T1552.004', 'T1003.004', 'T1547.005', 'T1558.002', 'T1003.006', 'T1649', 'T1555', 'T1207', 'T1134.005', 'T1558.001', 'T1550.002', 'T1555.004', 'T1098', 'T1555.003'"
719,"'T1003.004', 'T1003.002'"
720,"'T1059.006', 'T1036.004', 'T1027', 'T1053.005', 'T1057', 'T1140', 'T1055', 'T1055.001'"
721,"'T1016', 'T1049'"
722,"'T1027.009', 'T1027.003'"
723,"'T1040', 'T1033', 'T1016', 'T1046', 'T1018'"
724,"'T1003.004', 'T1003.008', 'T1555.003', 'T1555.001', 'T1003.001', 'T1003.005', 'T1003.007', 'T1555.004', 'T1552.001', 'T1555'"
725,'T1018'
726,"'T1083', 'T1070.004', 'T1082', 'T1059.003', 'T1570', 'T1105'"
727,'T1016'
728,"'T1003.003', 'T1570', 'T1564.004', 'T1105', 'T1005'"
729,"'T1082', 'T1135', 'T1069.002', 'T1201', 'T1003.004', 'T1047', 'T1003.003', 'T1016', 'T1110.003', 'T1003.002', 'T1059.001', 'T1087.002', 'T1018', 'T1110', 'T1083', 'T1053.002', 'T1550.002', 'T1110.001', 'T1049', 'T1112'"
730,"'T1564.003', 'T1573.002', 'T1218.010', 'T1083', 'T1218.005', 'T1059.001', 'T1135', 'T1047', 'T1053.005', 'T1082', 'T1059.005', 'T1033', 'T1105', 'T1003.003', 'T1071.001', 'T1547.001', 'T1548.002', 'T1021.001', 'T1055.001', 'T1016', 'T1115', 'T1218.011', 'T1059.003', 'T1569.002', 'T1046', 'T1003.002', 'T1005'"
731,'T1053.005'
732,'T1003.005'
733,"'T1570', 'T1564.004', 'T1140'"
734,"'T1552.001', 'T1083', 'T1003.004', 'T1550.003', 'T1082', 'T1497.001', 'T1569.002', 'T1105', 'T1055.001', 'T1059.001', 'T1547.001', 'T1071.001', 'T1114.001', 'T1113', 'T1033', 'T1057', 'T1056.001', 'T1125', 'T1543.002', 'T1046', 'T1135', 'T1070.001', 'T1123', 'T1134.001', 'T1573.002', 'T1003.005', 'T1087.001', 'T1560.001', 'T1016', 'T1049', 'T1136.001', 'T1136.002', 'T1021.001', 'T1059.006', 'T1557.001', 'T1555', 'T1555.003', 'T1041', 'T1548.002', 'T1003.001'"
735,"'T1552.002', 'T1112', 'T1012'"
736,"'T1105', 'T1570', 'T1048.003'"
737,"'T1071.001', 'T1071.002', 'T1090.001', 'T1132', 'T1090.002', 'T1573.002', 'T1071.004', 'T1090.004', 'T1119', 'T1572', 'T1008', 'T1030', 'T1095'"
738,"'T1090', 'T1014', 'T1055'"
739,"'T1070.004', 'T1485'"
740,"'T1564.001', 'T1555', 'T1090', 'T1555.003', 'T1105', 'T1082', 'T1056.001', 'T1548.002', 'T1016', 'T1564.003', 'T1547.001', 'T1614', 'T1553.002', 'T1059.003', 'T1112', 'T1573.001', 'T1033', 'T1125', 'T1053.005', 'T1095', 'T1552.001', 'T1571', 'T1021.001', 'T1005'"
741,"'T1090.003', 'T1573.002'"
742,"'T1016', 'T1069.002', 'T1018', 'T1087.002', 'T1482'"
743,"'T1005', 'T1070.001', 'T1562.002'"
744,'T1190'
745,"'T1543.003', 'T1021.002', 'T1569.002', 'T1136.002', 'T1570'"
